1,11,4
1,13,4
1,2,3
1,15,2
2,18,3
2,17,2
2,13,2
2,2,2
3,23,2
3,14,2
3,12,2
3,8,2
4,14,3
4,2,3
4,18,2
4,16,2
5,17,2
5,16,2
5,12,2
5,6,2
6,15,5
6,8,2
6,13,1
6,9,1
7,14,3
7,7,3
7,5,3
7,2,3
8,6,2
8,5,2
8,2,2
8,18,2
9,12,3
9,16,2
9,11,1
9,9,1
10,10,1
10,2,1
10,8,1
11,15,2
11,20,2
11,11,1
11,5,1
12,15,1
12,20,1
12,1,1
12,17,1
13,20,2
13,4,1
13,19,1
13,8,1
14,14,741
14,15,689
14,11,543
14,8,521
15,7,1
15,13,1
15,4,1
15,10,1
16,23,1
16,14,1
16,16,1
16,19,1
17,7,1
17,9,1
17,17,1
18,15,1
18,13,1
18,20,1
19,15,2
20,18,2
20,16,2
20,8,1
20,4,1
21,16,985
21,15,809
21,6,665
21,7,611
22,17,2
22,13,1
22,12,1
22,11,1
23,14,725
23,13,709
23,12,664
23,8,623
24,12,1046
24,14,865
24,11,687
24,8,592
25,15,1
25,6,1
25,23,1
25,4,1
26,15,1
26,16,1
27,7,616
27,8,524
27,15,504
27,14,436
28,18,1
28,20,1
29,7,1
29,6,1
29,13,1
29,19,1
30,16,1178
30,7,1063
30,14,734
30,8,732
31,6,1
31,14,1
31,18,1
31,3,1
32,18,1
33,12,1191
33,13,826
33,14,781
33,8,686
34,12,1052
34,15,777
34,9,722
34,11,657
35,15,638
35,7,634
35,14,610
35,6,435
36,3,3
36,16,1
37,17,1
37,16,1
38,15,670
38,8,465
38,11,419
38,14,289
39,1,2
39,23,1
39,6,1
40,15,1
40,7,1
40,8,1
41,18,2
41,1,1
41,8,1
41,16,1
42,10,1617
42,12,857
42,11,855
42,15,833
43,16,2
43,23,1
43,6,1
43,13,1
44,7,602
44,13,557
44,8,441
44,14,435
45,17,2
45,16,2
45,14,1
46,4,1
47,2,1
47,6,1
48,6,1
49,8,1
49,7,1
49,21,1
49,4,1
50,6,1
50,18,1
50,9,1
51,16,979
51,7,745
51,15,739
51,6,715
54,14,1
54,18,1
55,17,1198
55,15,836
55,6,792
55,7,791
56,23,1
59,7,1
60,9,770
60,15,701
60,12,669
60,14,659
61,7,916
61,16,819
61,6,768
61,13,738
62,14,856
62,11,748
62,13,618
62,10,499
63,3,1
63,18,1
64,7,773
64,6,712
64,15,617
64,8,545
65,7,1
65,17,1
65,12,1
67,16,721
67,13,715
67,11,659
67,8,560
68,18,1
69,13,2
69,18,1
70,15,2
70,8,2
70,16,2
70,14,1
71,12,1014
71,13,645
71,9,639
71,11,451
72,7,1
72,6,1
72,5,1
72,8,1
73,7,1
73,8,1
74,4,2
74,7,1
75,16,1
75,8,1
75,4,1
76,7,1029
76,15,654
76,9,589
76,8,514
77,15,1
77,6,1
77,12,1
77,20,1
79,7,1
79,13,1
80,5,3
80,4,2
80,12,1
80,2,1
81,12,1060
81,13,842
81,11,787
81,8,654
82,16,1
82,18,1
82,4,1
83,18,3
83,6,1
83,5,1
83,3,1
84,7,2
84,10,2
84,13,1
84,17,1
85,17,2
85,14,1
85,10,1
85,23,1
86,17,2
86,7,1
86,10,1
86,16,1
87,6,721
87,7,587
87,15,533
87,8,517
88,10,1
88,5,1
88,16,1
89,3,1
89,14,1
90,9,1
92,8,1
93,11,39
93,13,1
95,14,777
95,15,636
95,8,633
95,7,519
96,23,2
96,20,2
97,9,1
97,5,1
98,6,1
101,10,1563
101,13,688
101,8,648
101,14,619
111,5,1556
111,4,1163
111,7,883
111,15,788
113,23,1519
113,19,1214
113,3,1171
113,20,1149
115,20,1711
115,23,1187
115,3,821
115,2,759
119,9,748
119,14,631
119,8,622
119,13,606
120,5,744
120,16,581
120,6,408
120,7,279
122,17,1137
122,16,569
122,6,524
122,15,508
123,1,2297
123,21,2175
123,20,1979
123,23,1881
130,7,931
130,15,736
130,14,675
130,6,624
131,6,801
131,15,797
131,16,403
131,7,346
134,17,983
134,5,775
134,4,726
134,16,555
135,7,1069
135,13,746
135,14,742
135,9,585
140,5,884
140,17,693
140,15,689
140,6,557
142,19,1596
142,23,1346
142,3,1193
142,20,1018
143,5,1107
143,16,1085
143,15,701
143,6,418
151,20,1977
151,23,1396
151,2,421
154,12,1084
154,10,730
154,8,474
154,9,452
164,2,1402
164,4,879
164,18,584
164,3,458
165,13,885
165,14,813
165,11,619
165,12,531
170,20,312
170,23,242
170,4,154
170,2,152
173,20,958
173,2,631
173,3,560
173,19,202
178,13,631
178,8,467
178,11,345
178,9,112
180,1,1619
180,20,1407
180,2,895
180,23,745
183,23,1465
183,20,1446
183,19,1359
183,3,745
184,10,1121
184,13,829
184,9,734
184,11,530
191,11,810
191,8,592
191,13,374
191,14,374
192,13,612
192,14,606
192,8,593
192,15,555
193,18,1339
193,3,1160
193,2,1156
193,4,922
196,19,2421
196,23,1350
196,20,1341
196,1,1232
200,17,1730
200,4,321
200,18,33
200,3,7
201,18,1424
201,3,1278
201,5,1197
201,17,657
204,6,802
204,16,630
204,15,474
204,7,433
205,18,1407
205,4,1000
205,5,754
205,17,301
207,13,1
219,20,254
219,18,221
219,3,214
219,2,153
222,17,1150
222,16,938
222,18,870
222,3,579
223,5,1289
223,18,1140
223,16,1074
223,4,1069
229,18,1
232,18,1528
232,4,1287
232,3,931
232,17,759
236,15,827
236,14,699
236,13,689
236,10,591
239,20,1
249,1,2018
249,20,1321
249,23,1180
249,19,1153
253,5,1241
253,18,1049
253,17,825
253,2,775
255,20,1270
255,2,1252
255,3,1055
255,23,881
260,5,1513
260,3,924
260,18,627
260,4,441
264,17,1499
264,5,1399
264,18,643
264,4,612
269,14,1104
269,11,884
269,7,779
269,13,753
270,18,1105
270,4,996
270,16,886
270,17,346
272,5,1509
272,17,887
272,16,791
272,15,283
275,13,1
280,5,1550
280,18,1305
280,4,1181
280,6,863
281,18,1410
281,5,1331
281,17,1091
281,16,1034
287,13,503
287,9,500
287,14,488
287,7,410
297,19,2230
297,20,1651
297,23,1373
297,3,885
302,23,1730
302,20,1402
302,21,365
302,2,259
307,9,584
307,11,517
307,8,394
307,14,389
308,5,1
312,10,1535
312,12,741
312,13,675
312,11,485
318,7,985
318,6,736
318,15,445
318,8,432
319,11,1
320,16,915
320,6,619
320,15,400
320,14,145
321,17,1444
321,4,923
321,6,778
321,16,431
323,14,1
325,17,1366
325,4,1170
325,16,975
325,7,841
326,7,946
326,13,748
326,15,707
326,6,671
327,16,891
327,6,845
327,17,527
327,15,359
328,17,1786
328,5,1644
328,18,1095
328,4,979
329,5,1125
329,17,727
329,6,632
329,18,80
333,10,1016
333,14,833
333,13,742
333,9,699
335,12,631
335,13,534
